dataset,n_full_obs,mcar_obs_prob,prop_budget,tau,mean_width,mean_width_se,coverage,n_seeds
bbh+gpqa+ifeval+math+musr,,1.0,0.475,0.75,0.011342297615483355,3.9691199223996554e-07,0.950135623869801,100
bbh+gpqa+ifeval+math+musr,,1.0,0.5,0.05,0.013635231899097513,6.024617779758081e-06,0.9436211573236889,100
bbh+gpqa+ifeval+math+musr,,1.0,0.5,0.25,0.010660979226231524,1.3611850380535131e-06,0.9490415913200724,100
bbh+gpqa+ifeval+math+musr,,1.0,0.5,0.5,0.010214651161804741,6.06878680145462e-07,0.9495207956600362,100
bbh+gpqa+ifeval+math+musr,,1.0,0.5,0.75,0.01079255787655706,3.740786357414442e-07,0.9500135623869801,100
mmlu-pro,0.0,1e-05,0.275,0.05,0.03220900584012266,6.098175787208818e-06,0.9517894261183913,100
mmlu-pro,0.0,1e-05,0.275,0.25,0.029819885771721556,1.4871101520825615e-06,0.9500180750112969,100
mmlu-pro,0.0,1e-05,0.275,0.5,0.029450492132455066,9.694987775522e-07,0.9500316312697695,100
mmlu-pro,0.0,1e-05,0.275,0.75,0.029310243260115335,7.841849284365617e-07,0.9496023497514686,100
mmlu-pro,0.0,1e-05,0.3,0.05,0.03017637547105546,6.214024030155613e-06,0.9519521012200634,100
mmlu-pro,0.0,1e-05,0.3,0.25,0.02802834136411543,1.4182025187613268e-06,0.9503705377315862,100
mmlu-pro,0.0,1e-05,0.3,0.5,0.027694930657744355,9.156252272489223e-07,0.9498373248983281,100
